Reference #,START DATE,END DATE,VendorNumber,Category MATERIAL GROUP,Category NAME,Vendor performance,ParentOANumber2,OA number,RestrictedUSVendor,PurchasingGroupNumber,AutoPOCategory,MaxAutoPOValueEx,AutoPOType,AuthorizationGroupName,AribaSupplierGroup
1872,2018-02-27,2024-12-13,56843837,2752,Line Svc,Poor,440001682,440001682,N,119,Exception,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,
3194,2025-10-28,2026-12-13,60544537,2812,Tech/Specialized Svc,Good,600002435,600002435,N,140,Exception,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Service Entry Sheet First
1874,2018-02-27,2024-12-13,57353837,2752,Line Svc,Good,440001684,440001684,N,131,Exception,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Service Entry Sheet First
1875,2018-02-27,2024-12-13,57828537,2752,Line Svc,Poor,440001685,440001685,N,119,Exception,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Invoice First
2729,2020-07-15,2026-12-20,59618237,2762,Marketing & Commun,Excellent,440002272,440002272,N,103,Services,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Service Entry Sheet First
1877,2018-03-30,2023-03-29,56960037,1692,IT,Excellent,440001689,440001689,N,131,Exception,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,
1878,2019-11-13,2021-11-12,53197938,2702,Equip Rental,Developing,440002075,440002075,N,138,Exception,"10,000,000.00 CAD",NBF,NON-CONFIDENTIAL,Service Entry Sheet First
1879,2018-02-13,2025-03-14,58892937,2792,Site Safety Svcs,Developing,440001691,440001691,N,112,Services,"10,000,000.00 CAD",NBF,NON-CONFIDENTIAL,
1880,2018-02-27,2023-02-26,59256937,2782,Quality Mgmt/Inspect,Excellent,440001692,440001692,N,101,Services,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,
2400,2025-01-07,2027-01-06,58877638,2812,Tech/Specialized Svc,Poor,600001975,600001975,N,117,No Auto-PO,"10,000,000.00 CAD",#,NON-CONFIDENTIAL,Service Entry Sheet First
1882,2020-12-07,2023-12-13,57855337,2792,Site Safety Svcs,Average,440002350,440002350,N,141,Exception,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Service Entry Sheet First
2432,2025-01-07,2027-01-06,57856537,2812,Tech/Specialized Svc,Average,600001973,600001973,N,117,No Auto-PO,"10,000,000.00 CAD",#,NON-CONFIDENTIAL,Service Entry Sheet First
76,2026-01-13,2027-01-12,55337138,1722,MRO-Gen Indus/Safety,Poor,600002595,600002595,Y,712,Exception,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Service Entry Sheet First
374,2024-02-10,2027-01-12,54510637,2632,Consulting Svcs,Excellent,600001373,600001373,N,117,No Auto-PO,"10,000,000.00 CAD",#,NON-CONFIDENTIAL,Service Entry Sheet First
385,2012-03-04,2027-01-12,50189187,2652,Corporate Svcs,Poor,439999655,439999655,N,135,Exception,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,
1089,2013-07-16,2027-01-12,56212855,2772,Property & Facility,Excellent,440000453,440000453,N,139,No Auto-PO,"10,000,000.00 CAD",#,NON-CONFIDENTIAL,Service Entry Sheet First
1888,2018-04-04,2023-04-04,57309837,2772,Property & Facility,Developing,440001717,440001717,N,122,No Auto-PO,"10,000,000.00 CAD",#,NON-CONFIDENTIAL,
1092,2024-02-10,2027-01-12,56212855,2632,Consulting Svcs,Poor,600001375,600001375,N,117,No Auto-PO,"10,000,000.00 CAD",#,NON-CONFIDENTIAL,Service Entry Sheet First
1246,2013-12-25,2027-01-12,54916339,2712,Equip Test/Maint/Rep,Good,440000594,440000594,Y,111,No Auto-PO,"10,000,000.00 CAD",#,NON-CONFIDENTIAL,Service Entry Sheet First
1299,2024-03-20,2027-01-12,55668937,2812,Tech/Specialized Svc,Average,600001473,600001473,N,117,No Auto-PO,"10,000,000.00 CAD",#,NON-CONFIDENTIAL,Service Entry Sheet First
1381,2014-06-15,2027-01-12,55649137,2632,Consulting Svcs,Good,440000878,440000878,N,119,No Auto-PO,"10,000,000.00 CAD",#,NON-CONFIDENTIAL,Service Entry Sheet First
1893,2018-04-04,2023-04-04,59267437,2772,Property & Facility,Poor,440001731,440001731,N,122,No Auto-PO,"10,000,000.00 CAD",#,NON-CONFIDENTIAL,
1894,2018-04-04,2023-04-04,59266337,2772,Property & Facility,Excellent,440001732,440001732,N,122,No Auto-PO,"10,000,000.00 CAD",#,NON-CONFIDENTIAL,
1430,2024-02-10,2027-01-12,50957639,2632,Consulting Svcs,Average,600001374,600001374,N,117,No Auto-PO,"10,000,000.00 CAD",#,NON-CONFIDENTIAL,Service Entry Sheet First
1456,2014-06-15,2027-01-12,57059237,2772,Property & Facility,Average,440001020,440001020,N,139,No Auto-PO,"10,000,000.00 CAD",#,NON-CONFIDENTIAL,Service Entry Sheet First
1897,2018-04-15,2025-04-14,57014237,2772,Property & Facility,Average,440001742,440001742,N,122,Exception,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,
1898,2018-04-04,2023-04-04,55078637,2772,Property & Facility,Good,440001745,440001745,N,122,No Auto-PO,"10,000,000.00 CAD",#,NON-CONFIDENTIAL,
1899,2018-04-15,2025-04-14,54711637,2772,Property & Facility,Excellent,440001746,440001746,N,122,Exception,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,
1900,2018-04-15,2025-04-14,53333038,2772,Property & Facility,Excellent,440001747,440001747,N,122,Exception,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Service Entry Sheet First
1901,2018-04-15,2025-04-14,59190637,2772,Property & Facility,Good,440001748,440001748,N,122,Exception,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,
1902,2018-04-14,2022-07-15,59272137,2772,Property & Facility,Poor,440001749,440001749,N,122,Services,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Service Entry Sheet First
1499,2022-01-13,2027-01-12,51033537,1692,IT,Developing,600000117,600000117,N,141,Exception,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Service Entry Sheet First
1506,2015-01-13,2027-01-12,56856837,2772,Property & Facility,Poor,440001086,440001086,N,139,Exception,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Service Entry Sheet First
1905,2018-04-15,2021-04-14,57896737,2802,Specialized Trades,Poor,440001753,440001753,N,112,No Auto-PO,"10,000,000.00 CAD",#,NON-CONFIDENTIAL,Service Entry Sheet First
1513,2024-03-20,2027-01-12,51064650,2812,Tech/Specialized Svc,Poor,600001474,600001474,N,117,No Auto-PO,"10,000,000.00 CAD",#,NON-CONFIDENTIAL,Invoice First
1718,2024-03-20,2027-01-12,57511138,2812,Tech/Specialized Svc,Average,600001470,600001470,N,117,No Auto-PO,"10,000,000.00 CAD",#,NON-CONFIDENTIAL,Service Entry Sheet First
2270,2024-02-10,2027-01-12,55175139,2632,Consulting Svcs,Developing,600001372,600001372,N,117,No Auto-PO,"10,000,000.00 CAD",#,NON-CONFIDENTIAL,Service Entry Sheet First
2271,2024-03-20,2027-01-12,55175139,2812,Tech/Specialized Svc,Good,600001472,600001472,N,117,No Auto-PO,"10,000,000.00 CAD",#,NON-CONFIDENTIAL,Service Entry Sheet First
2290,2024-02-10,2027-01-12,59063837,2632,Consulting Svcs,Average,600001371,600001371,N,117,No Auto-PO,"10,000,000.00 CAD",#,NON-CONFIDENTIAL,Service Entry Sheet First
1911,2018-07-16,2024-09-28,55192437,2762,Marketing & Commun,Excellent,440001769,440001769,N,132,Exception,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,
2671,2024-02-11,2027-01-12,59581137,2632,Consulting Svcs,Average,600001377,600001377,N,117,No Auto-PO,"10,000,000.00 CAD",#,NON-CONFIDENTIAL,Service Entry Sheet First
2977,2024-03-09,2027-01-12,59924339,2632,Consulting Svcs,Good,600001427,600001427,N,117,No Auto-PO,"10,000,000.00 CAD",#,NON-CONFIDENTIAL,Service Entry Sheet First
134,2022-01-23,2027-01-22,49623159,1662,Electrical Component,Good,600000167,600000167,N,706,No Auto-PO,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Service Entry Sheet First
1915,2018-10-30,2024-03-13,57205337,1622,Construct Material,Developing,440001898,440001898,N,138,Services,"10,000,000.00 CAD",NBF,NON-CONFIDENTIAL,
1164,2024-01-23,2027-01-22,57594737,2782,Quality Mgmt/Inspect,Excellent,600001417,600001417,N,140,Exception,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Service Entry Sheet First
1165,2024-01-23,2027-01-22,57594737,2782,Quality Mgmt/Inspect,Average,600001419,600001419,N,140,Exception,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Service Entry Sheet First
2589,2024-01-23,2027-01-22,59483537,2782,Quality Mgmt/Inspect,Good,600001422,600001422,N,140,Exception,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Service Entry Sheet First
2590,2024-01-23,2027-01-22,59483537,2782,Quality Mgmt/Inspect,Good,600001423,600001423,N,140,Exception,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Service Entry Sheet First
2720,2024-01-23,2027-01-22,59614037,2782,Quality Mgmt/Inspect,Excellent,600001420,600001420,N,140,Exception,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Service Entry Sheet First
1921,2018-07-31,2021-04-14,54349337,2622,Construction Equip,Good,440001781,440001781,N,138,Services,"10,000,000.00 CAD",NBF,NON-CONFIDENTIAL,
2721,2024-01-23,2027-01-22,59614037,2782,Quality Mgmt/Inspect,Average,600001421,600001421,N,140,Exception,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Service Entry Sheet First
1923,2018-07-31,2021-04-14,55276437,2622,Construction Equip,Excellent,440001782,440001782,N,104,Services,"10,000,000.00 CAD",NBF,NON-CONFIDENTIAL,Invoice First
1924,2021-04-15,2024-02-18,55276437,2622,Construction Equip,Good,440002645,440002645,N,138,Services,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Invoice First
2356,2024-12-14,2027-01-28,56410838,1692,IT,Poor,600001901,600001901,N,141,Exception,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,
580,2020-03-18,2027-02-04,49784638,2682,Environment Svc,Poor,440002215,440002215,N,140,No Auto-PO,"10,000,000.00 CAD",#,NON-CONFIDENTIAL,Service Entry Sheet First
1308,2020-04-04,2027-02-04,51373638,2682,Environment Svc,Poor,440002216,440002216,N,107,Exception,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Service Entry Sheet First
1928,2021-11-25,2022-11-24,58749537,1662,Electrical Component,Excellent,600000022,600000022,N,119,Exception,"10,000,000.00 CAD",NBF,NON-CONFIDENTIAL,
1555,2020-02-05,2027-02-04,51264239,2682,Environment Svc,Poor,440002214,440002214,N,139,No Auto-PO,"10,000,000.00 CAD",#,NON-CONFIDENTIAL,Service Entry Sheet First
1930,2018-10-06,2021-04-14,57677137,2622,Construction Equip,Good,440001795,440001795,N,112,Exception,"10,000,000.00 CAD",NBF,NON-CONFIDENTIAL,Invoice First
2326,2024-01-08,2027-02-04,56212857,2682,Environment Svc,Good,600001321,600001321,N,139,Exception,"10,000,000.00 CAD",NBF,NON-CONFIDENTIAL,Service Entry Sheet First
1932,2018-10-13,2023-12-13,56522837,2792,Site Safety Svcs,Average,440001796,440001796,N,141,Exception,"10,000,000.00 CAD",NBF,NON-CONFIDENTIAL,Invoice First
1197,2022-02-13,2027-02-12,50496937,2762,Marketing & Commun,Developing,600000177,600000177,N,135,No Auto-PO,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,
1934,2018-11-13,2024-09-13,54323937,2792,Site Safety Svcs,Poor,440001800,440001800,N,138,Services,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Invoice First
1541,2017-02-13,2027-02-12,51136037,2842,Transportation Svc,Good,440001556,440001556,N,138,No Auto-PO,"10,000,000.00 CAD",#,NON-CONFIDENTIAL,Service Entry Sheet First
2385,2025-12-09,2027-02-12,56885140,1822,Wire And Cable,Excellent,600001824,600001824,Y,707,Exception,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,
2794,2020-12-16,2027-02-13,59692137,1692,IT,Poor,440002400,440002400,Y,141,No Auto-PO,"10,000,000.00 CAD",#,NON-CONFIDENTIAL,Service Entry Sheet First
1938,2021-04-11,2022-05-15,53494737,2862,Vegetation Mgmt,Poor,599999808,599999808,N,119,No Auto-PO,"10,000,000.00 CAD",#,NON-CONFIDENTIAL,
2795,2020-12-16,2027-02-13,59692137,1692,IT,Average,440002441,440002441,Y,119,No Auto-PO,"10,000,000.00 CAD",#,NON-CONFIDENTIAL,Service Entry Sheet First
1940,2021-02-08,2022-05-15,53494837,2862,Vegetation Mgmt,Excellent,599999807,599999807,N,119,No Auto-PO,"10,000,000.00 CAD",#,NON-CONFIDENTIAL,Service Entry Sheet First
2796,2020-12-16,2027-02-13,59692137,1692,IT,Poor,440002466,440002466,Y,119,No Auto-PO,"10,000,000.00 CAD",#,NON-CONFIDENTIAL,Service Entry Sheet First
1942,2018-12-14,2022-02-12,57277637,2762,Marketing & Commun,Excellent,440001812,440001812,N,132,Services,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Service Entry Sheet First
3070,2024-02-13,2027-02-13,60239537,1812,Telecom Equip,Developing,600001563,600001563,N,701,Exception,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Service Entry Sheet First
3071,2024-02-13,2027-02-13,60239537,1812,Telecom Equip,Average,600001565,600001565,N,129,No Auto-PO,"10,000,000.00 CAD",#,NON-CONFIDENTIAL,Service Entry Sheet First
1945,2018-12-14,2022-02-12,59216237,2762,Marketing & Commun,Poor,440001816,440001816,N,132,Services,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Service Entry Sheet First
3072,2024-02-13,2027-02-13,60239537,1812,Telecom Equip,Poor,600001566,600001566,N,129,No Auto-PO,"10,000,000.00 CAD",#,NON-CONFIDENTIAL,Service Entry Sheet First
1947,2018-07-23,2025-03-14,58972637,2792,Site Safety Svcs,Average,440001817,440001817,N,138,Services,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Invoice First
1948,2018-12-14,2024-06-20,56181737,2762,Marketing & Commun,Good,440001820,440001820,N,103,Services,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Service Entry Sheet First
1949,2018-12-14,2024-08-20,56011837,2762,Marketing & Commun,Good,440001821,440001821,N,103,Services,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Service Entry Sheet First
1950,2018-12-14,2024-09-28,55876037,2762,Marketing & Commun,Excellent,440001822,440001822,N,103,Services,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Service Entry Sheet First
3073,2020-12-16,2027-02-13,60239537,1692,IT,Good,600001720,600001720,N,141,No Auto-PO,"10,000,000.00 CAD",#,NON-CONFIDENTIAL,Service Entry Sheet First
1952,2018-12-14,2024-08-20,55654037,2762,Marketing & Commun,Good,440001824,440001824,N,103,Services,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Service Entry Sheet First
214,2024-03-20,2027-03-10,49641437,2712,Equip Test/Maint/Rep,Average,600001479,600001479,N,117,No Auto-PO,"10,000,000.00 CAD",#,NON-CONFIDENTIAL,Service Entry Sheet First
1954,2018-12-14,2024-09-28,57580237,2762,Marketing & Commun,Good,440001828,440001828,N,103,Services,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Service Entry Sheet First
302,2023-12-12,2027-03-14,49664661,1702,Major Gen Powerhouse,Good,600001274,600001274,N,302,No Auto-PO,"10,000,000.00 CAD",#,NON-CONFIDENTIAL,Service Entry Sheet First
1956,2018-12-14,2024-08-20,57780837,2762,Marketing & Commun,Good,440001831,440001831,N,103,Services,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Service Entry Sheet First
369,2021-10-06,2027-03-14,49671837,2712,Equip Test/Maint/Rep,Poor,439999603,439999603,N,111,Exception,"10,000,000.00 CAD",NBF,NON-CONFIDENTIAL,Service Entry Sheet First
1958,2018-12-14,2022-02-11,57896837,2762,Marketing & Commun,Good,440001832,440001832,N,132,No Auto-PO,"10,000,000.00 CAD",#,NON-CONFIDENTIAL,Service Entry Sheet First
586,2014-09-27,2027-03-14,49790537,2812,Tech/Specialized Svc,Good,440001015,440001015,N,117,Services,"10,000,000.00 CAD",NBF,NON-CONFIDENTIAL,
1453,2014-09-27,2027-03-14,55581437,2812,Tech/Specialized Svc,Poor,440001017,440001017,N,117,Services,"10,000,000.00 CAD",NBF,NON-CONFIDENTIAL,Service Entry Sheet First
1454,2014-09-27,2027-03-14,57781237,2812,Tech/Specialized Svc,Average,440001019,440001019,N,117,Services,"10,000,000.00 CAD",NBF,NON-CONFIDENTIAL,Service Entry Sheet First
1827,2022-02-26,2027-03-14,52947754,1802,Switchgear,Good,600000263,600000263,N,323,No Auto-PO,"10,000,000.00 CAD",#,UNSECURED,Service Entry Sheet First
1828,2023-11-07,2027-03-14,52947754,1802,Switchgear,Developing,600000263,600001251,N,323,Exception,"10,000,000.00 CAD",NB,UNSECURED,Service Entry Sheet First
1964,2018-12-31,2021-12-13,57329638,2822,Traffic Mgmt Svc,Developing,440001838,440001838,N,138,Services,"10,000,000.00 CAD",NBF,NON-CONFIDENTIAL,Invoice First
1829,2022-03-06,2027-03-14,52947754,1662,Electrical Component,Average,600000287,600000287,N,706,Exception,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Service Entry Sheet First
1966,2022-02-20,2025-02-12,53571337,2842,Transportation Svc,Developing,600000242,600000242,N,138,Exception,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Invoice First
1830,2022-03-06,2027-03-14,52947754,1712,Metering & Network,Poor,600000288,600000288,N,701,Exception,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Service Entry Sheet First
1968,2021-04-15,2024-04-13,53577537,2622,Construction Equip,Excellent,440002438,440002438,N,138,Services,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,
1831,2022-03-09,2027-03-14,52947754,1762,Pre-Cast Concrete,Good,600000297,600000297,N,716,Exception,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Service Entry Sheet First
1929,2018-12-14,2027-03-14,53457237,2762,Marketing & Commun,Developing,440001848,440001848,N,103,Services,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Service Entry Sheet First
1971,2018-12-14,2023-02-12,57583337,2762,Marketing & Commun,Good,440001850,440001850,N,132,Services,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Service Entry Sheet First
1933,2022-04-26,2027-03-14,56522837,2792,Site Safety Svcs,Excellent,600000417,600000417,N,141,Exception,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Invoice First
2556,2022-04-04,2027-03-14,59450037,2732,General Construction,Excellent,600000387,600000387,N,324,No Auto-PO,"10,000,000.00 CAD",#,SITE C,Service Entry Sheet First
3081,2024-03-14,2027-03-14,60285937,2652,Corporate Svcs,Good,600001425,600001425,N,110,Exception,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Service Entry Sheet First
1063,2021-07-17,2027-03-15,54373339,2642,Contingent Labour,Good,599999732,599999732,N,998,No Auto-PO,"10,000,000.00 CAD",#,CLRA Interface PO,Service Entry Sheet First
1976,2019-06-15,2022-07-04,53649938,2692,Equip Install & Comm,Poor,440001979,440001979,N,111,No Auto-PO,"10,000,000.00 CAD",#,NON-CONFIDENTIAL,Service Entry Sheet First
1977,2018-10-30,2024-03-13,56789237,1622,Construct Material,Poor,440001874,440001874,N,138,Services,"10,000,000.00 CAD",NBF,NON-CONFIDENTIAL,
1068,2020-06-21,2027-03-15,55098240,2642,Contingent Labour,Good,599999447,599999447,N,998,No Auto-PO,"10,000,000.00 CAD",#,CLRA Interface PO,Service Entry Sheet First
1071,2021-03-16,2027-03-15,55567837,2642,Contingent Labour,Good,599999451,599999451,N,998,No Auto-PO,"10,000,000.00 CAD",#,CLRA Interface PO,Service Entry Sheet First
1080,2020-03-05,2027-03-15,56601737,2642,Contingent Labour,Good,599999438,599999438,N,998,No Auto-PO,"10,000,000.00 CAD",#,CLRA Interface PO,Service Entry Sheet First
1268,2021-07-17,2027-03-15,50601337,2642,Contingent Labour,Excellent,599999733,599999733,N,998,No Auto-PO,"10,000,000.00 CAD",#,CLRA Interface PO,
1982,2019-02-13,2023-02-12,57740637,2722,Field Waste Mgmt,Average,440001878,440001878,N,122,No Auto-PO,"10,000,000.00 CAD",#,NON-CONFIDENTIAL,Service Entry Sheet First
1983,2019-02-13,2023-02-12,54372637,2722,Field Waste Mgmt,Excellent,440001879,440001879,N,122,No Auto-PO,"10,000,000.00 CAD",#,NON-CONFIDENTIAL,Service Entry Sheet First
1414,2021-03-16,2027-03-15,56085637,2642,Contingent Labour,Good,599999555,599999555,N,998,No Auto-PO,"10,000,000.00 CAD",#,CLRA Interface PO,Service Entry Sheet First
1418,2021-03-16,2027-03-15,56278537,2642,Contingent Labour,Excellent,599999542,599999542,N,998,No Auto-PO,"10,000,000.00 CAD",#,CLRA Interface PO,Service Entry Sheet First
1760,2020-06-10,2027-03-15,54129342,2642,Contingent Labour,Good,599999440,599999440,N,998,No Auto-PO,"10,000,000.00 CAD",#,CLRA Interface PO,Service Entry Sheet First
1944,2021-07-17,2027-03-15,56770737,2642,Contingent Labour,Excellent,599999734,599999734,N,998,No Auto-PO,"10,000,000.00 CAD",#,CLRA Interface PO,Service Entry Sheet First
1989,2023-04-30,2027-03-15,53673439,2642,Contingent Labour,Excellent,600001054,600001054,N,998,No Auto-PO,"10,000,000.00 CAD",#,CLRA Interface PO,Service Entry Sheet First
2294,2020-03-11,2027-03-15,55580540,2642,Contingent Labour,Developing,599999428,599999428,N,998,No Auto-PO,"10,000,000.00 CAD",#,CLRA Interface PO,Service Entry Sheet First
2312,2020-06-15,2027-03-15,56384540,2642,Contingent Labour,Average,599999442,599999442,N,998,No Auto-PO,"10,000,000.00 CAD",#,CLRA Interface PO,Service Entry Sheet First
2336,2021-07-17,2027-03-15,56486939,2642,Contingent Labour,Average,599999738,599999738,N,998,No Auto-PO,"10,000,000.00 CAD",#,CLRA Interface PO,Invoice First
2669,2020-03-11,2027-03-15,59576837,2642,Contingent Labour,Good,599999432,599999432,N,998,No Auto-PO,"10,000,000.00 CAD",#,CLRA Interface PO,Service Entry Sheet First
2677,2020-03-11,2027-03-15,59584137,2642,Contingent Labour,Good,599999436,599999436,N,998,No Auto-PO,"10,000,000.00 CAD",#,CLRA Interface PO,Service Entry Sheet First
2747,2021-07-17,2027-03-15,59630537,2642,Contingent Labour,Excellent,599999736,599999736,N,998,No Auto-PO,"10,000,000.00 CAD",#,CLRA Interface PO,Service Entry Sheet First
1995,2023-12-14,2024-04-02,53686940,2632,Consulting Svcs,Poor,600001494,600001494,N,116,Exception,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Service Entry Sheet First
3011,2023-03-04,2027-03-15,60044037,2732,General Construction,Excellent,600000924,600000924,N,138,No Auto-PO,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Service Entry Sheet First
1997,2019-02-13,2021-12-13,58846837,2812,Tech/Specialized Svc,Good,440001901,440001901,N,131,No Auto-PO,"10,000,000.00 CAD",#,NON-CONFIDENTIAL,Service Entry Sheet First
3012,2023-03-11,2027-03-15,60044037,2732,General Construction,Excellent,600000924,600000937,N,133,Services,"10,000,000.00 CAD",NBF,NON-CONFIDENTIAL,Service Entry Sheet First
3013,2023-03-11,2027-03-15,60044037,2732,General Construction,Good,600000924,600000938,N,133,Exception,"10,000,000.00 CAD",NBF,NON-CONFIDENTIAL,Service Entry Sheet First
2000,2019-03-15,2024-03-13,56199637,2672,Engineering & Proj,Average,440001906,440001906,N,119,No Auto-PO,"10,000,000.00 CAD",#,NON-CONFIDENTIAL,
2001,2019-06-17,2024-06-15,56212852,2672,Engineering & Proj,Average,440001909,440001909,N,119,No Auto-PO,"10,000,000.00 CAD",#,NON-CONFIDENTIAL,Service Entry Sheet First
2002,2019-06-18,2024-06-16,55175137,2672,Engineering & Proj,Excellent,440001910,440001910,N,119,No Auto-PO,"10,000,000.00 CAD",#,NON-CONFIDENTIAL,Service Entry Sheet First
3014,2023-03-11,2027-03-15,60044037,2732,General Construction,Poor,600000924,600000939,N,133,Services,"10,000,000.00 CAD",NBF,NON-CONFIDENTIAL,Service Entry Sheet First
3015,2023-03-11,2027-03-15,60044037,2732,General Construction,Average,600000924,600000940,N,133,Services,"10,000,000.00 CAD",NBF,NON-CONFIDENTIAL,Service Entry Sheet First
3016,2023-03-11,2027-03-15,60044037,2732,General Construction,Excellent,600000924,600000941,N,133,Exception,"10,000,000.00 CAD",NBF,NON-CONFIDENTIAL,Service Entry Sheet First
2006,2019-04-15,2025-05-20,59201137,2822,Traffic Mgmt Svc,Good,440001928,440001928,N,138,Exception,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Invoice First
2007,2020-10-15,2021-12-13,59201137,2822,Traffic Mgmt Svc,Poor,440002289,440002289,N,138,Services,"10,000,000.00 CAD",NBF,NON-CONFIDENTIAL,Invoice First
2008,2021-05-09,2022-01-12,59201137,2822,Traffic Mgmt Svc,Poor,599999536,599999536,N,138,Exception,"10,000,000.00 CAD",NBF,NON-CONFIDENTIAL,Invoice First
2009,2021-12-14,2025-05-20,59201137,2822,Traffic Mgmt Svc,Good,599999914,599999914,N,138,Services,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Invoice First
2010,2022-04-15,2025-05-20,59201137,2822,Traffic Mgmt Svc,Average,600000391,600000391,N,138,Exception,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Invoice First
2011,2023-08-14,2025-05-20,59201137,2822,Traffic Mgmt Svc,Developing,600001188,600001188,N,138,Services,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Invoice First
2012,2019-01-09,2021-04-14,59234337,2622,Construction Equip,Excellent,440001936,440001936,N,112,Services,"10,000,000.00 CAD",NBF,NON-CONFIDENTIAL,Invoice First
3017,2023-03-11,2027-03-15,60044037,2732,General Construction,Poor,600000924,600000942,N,116,Exception,"10,000,000.00 CAD",NBF,NON-CONFIDENTIAL,Service Entry Sheet First
3018,2023-03-11,2027-03-15,60044037,2732,General Construction,Excellent,600000924,600000943,N,133,Exception,"10,000,000.00 CAD",NBF,NON-CONFIDENTIAL,Service Entry Sheet First
2015,2019-04-08,2022-04-08,58800537,2812,Tech/Specialized Svc,Excellent,440001940,440001940,N,119,No Auto-PO,"10,000,000.00 CAD",#,NON-CONFIDENTIAL,Service Entry Sheet First
2016,2019-05-16,2023-12-26,57884637,1692,IT,Poor,440001941,440001941,Y,129,No Auto-PO,"10,000,000.00 CAD",#,NON-CONFIDENTIAL,
2017,2019-04-15,2024-04-14,59083537,2802,Specialized Trades,Poor,440001943,440001943,N,138,Exception,"10,000,000.00 CAD",NBF,NON-CONFIDENTIAL,
2018,2019-04-21,2024-04-19,58856138,2682,Environment Svc,Good,440001947,440001947,N,139,Services,"10,000,000.00 CAD",NBF,NON-CONFIDENTIAL,Service Entry Sheet First
3019,2023-03-11,2027-03-15,60044037,2732,General Construction,Good,600000924,600000944,N,133,Exception,"10,000,000.00 CAD",NBF,NON-CONFIDENTIAL,Service Entry Sheet First
3020,2023-03-11,2027-03-15,60044037,2732,General Construction,Average,600000924,600000945,N,116,Exception,"10,000,000.00 CAD",NBF,NON-CONFIDENTIAL,Service Entry Sheet First
3021,2024-03-17,2027-03-15,60044037,2732,General Construction,Excellent,600000924,600001452,N,138,Exception,"10,000,000.00 CAD",NBF,NON-CONFIDENTIAL,Service Entry Sheet First
3022,2024-09-16,2027-03-15,60044037,2732,General Construction,Poor,600000924,600001747,N,138,Exception,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Service Entry Sheet First
